MATERIA,ART_INFRINGIDO,CODIGO_O_ley,CONDUCTA,CONDUCTA_DESCRIPCION
allanamiento_autonomo,,,allanamiento_autonomo,
habeas_corpus,1,ley_23098,habeas_corpus,
ejecucion_de_multa,23,ley_1217,ejecucion_de_multa,
amparo,,,amparo,
contravencional,52,codigo_contravencional,pelear_en_lugar_publico,
contravencional,53,codigo_contravencional,hostigamiento,
contravencional,54,codigo_contravencional,maltrato,
contravencional,55_inc3,codigo_contravencional,hostigamiento,agravado_menor_de_edad
contravencional,55_inc5,codigo_contravencional,hostigamiento,agravado_violencia_de_genero
contravencional,55_inc7,codigo_contravencional,hostigamiento,agravado_relacion_de_pareja
contravencional,56,codigo_contravencional,arrojar_sustancias_insalubres_en_lugares_publicos,agravado_por_espacio
contravencional,57,codigo_contravencional,juego_sin_autorizacion,
contravencional,58,codigo_contravencional,espantar_animales,
contravencional,59,codigo_contravencional,obstaculizar_ingreso_o_salida,
contravencional,60,codigo_contravencional,ingresar_contra_derecho_admision,
contravencional,61,codigo_contravencional,derecho_admision,
contravencional,62,codigo_contravencional,inducir_menor_a_mendigar,
contravencional,63,codigo_contravencional,actos_contenido_sexual_con_menores,
contravencional,64,codigo_contravencional,suministrar_alcohol_menor,agravado_lugar_publico
contravencional,65,codigo_contravencional,presencia_menores_lugar_no_autorizado,
contravencional,66,codigo_contravencional,suministrar_material_pornografico,
contravencional,67,codigo_contravencional,suministrar_objetos_peligrosos,
contravencional,68,codigo_contravencional,suministrar_productos_farmaceuticos,
contravencional,69,codigo_contravencional,acoso_sexual_callejero,
contravencional,69_inc1,codigo_contravencional,acoso_sexual_callejero,agravado_menor_de_edad
contravencional,69_inc2,codigo_contravencional,acoso_sexual_callejero,agravado_mas_personas
contravencional,69_inc3,codigo_contravencional,acoso_sexual_callejero,agravado_violencia_de_genero
contravencional,70,codigo_contravencional,discriminar,
contravencional,71,codigo_contravencional,alterar_sepulturas,
contravencional,72,codigo_contravencional,inhumar_exhumar_profanar,
contravencional,73,codigo_contravencional,perturbar_ceremonias_religiosas_funebres,
